"uuid","viewDistance","session"
"28e466ca-6e08-44ee-baef-e9df19c1a0d5",54.415,2
"28e466ca-6e08-44ee-baef-e9df19c1a0d5",62.814,3
"28e466ca-6e08-44ee-baef-e9df19c1a0d5",53.713,1
"290a3aee-272e-4462-8479-9e90cde2ce87",40.921,3
"290a3aee-272e-4462-8479-9e90cde2ce87",43.314,2
"290a3aee-272e-4462-8479-9e90cde2ce87",47.392,1
"293ebc75-992a-42cd-ac9c-fd432990ace6",48.025,2
"293ebc75-992a-42cd-ac9c-fd432990ace6",60.815,3
"293ebc75-992a-42cd-ac9c-fd432990ace6",29.879,1
"29cc03b0-300b-4d3b-b4b8-644fd012798f",47.114,2
"29cc03b0-300b-4d3b-b4b8-644fd012798f",47.114,3
"29cc03b0-300b-4d3b-b4b8-644fd012798f",51.514,1
"29d4d462-3ab1-4543-8e38-07d601ac5e71",41.058,3
"29d4d462-3ab1-4543-8e38-07d601ac5e71",43.599,2
"29d4d462-3ab1-4543-8e38-07d601ac5e71",40.669,1
"2a6ee495-04b5-4fe2-a06a-7162d11f3428",38.441,3
"2a6ee495-04b5-4fe2-a06a-7162d11f3428",38.581,2
"2a6ee495-04b5-4fe2-a06a-7162d11f3428",36.495,1
"2a7df455-a64f-4d04-9a20-98e9a883431d",38.524,2
"2a7df455-a64f-4d04-9a20-98e9a883431d",40.97,3
"2a7df455-a64f-4d04-9a20-98e9a883431d",44.583,1
"2af17d6c-f287-4e7b-b8e2-e351bd0f50a2",37.753,2
"2af17d6c-f287-4e7b-b8e2-e351bd0f50a2",49.882,3
"2af17d6c-f287-4e7b-b8e2-e351bd0f50a2",56.871,1
"2b15aad5-085c-416f-a4e7-826caec7d952",44.175,2
"2b15aad5-085c-416f-a4e7-826caec7d952",44.474,3
"2b15aad5-085c-416f-a4e7-826caec7d952",46.578,1
"2b304c1d-fb9f-402c-9802-b0b60f1d5a7a",49.137,3
"2b304c1d-fb9f-402c-9802-b0b60f1d5a7a",49.996,2
"2b304c1d-fb9f-402c-9802-b0b60f1d5a7a",66.626,1
"2bbbfe56-437a-4f29-a308-19ada1cbe6d0",32.879,2
